Player Name,Sleeper ID,was keeper,2023 keeper round,was drafted,draft round,was dropped,on same roster,was undrafted,designation,2024 keeper round
,,,,,,,,,,
T-Money,,,,,,,,,,
Jaylen Waddle,7526,TRUE,1,TRUE,2,FALSE,FALSE,FALSE,keeper,1
Kyle Pitts,7553,FALSE,14,TRUE,4,TRUE,FALSE,FALSE,undrafted or dropped,10
Nick Bolton,7648,TRUE,13,TRUE,13,FALSE,TRUE,FALSE,keeper,10
James Cook,8138,TRUE,14,TRUE,14,FALSE,FALSE,FALSE,keeper,11
Garrett Wilson,8146,TRUE,12,TRUE,12,FALSE,TRUE,FALSE,keeper,9
Jameson Williams,8148,FALSE,12,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Dax Hill,8286,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
Terrel Bernard,8311,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,20
Aaron Rodgers,96,FALSE,3,TRUE,6,FALSE,FALSE,FALSE,drafted,5
Jordan Addison,9756,FALSE,,TRUE,7,FALSE,TRUE,FALSE,drafted,5
Bobby Okereke,5944,FALSE,,TRUE,15,FALSE,TRUE,FALSE,drafted,11
,,,,,,,,,,
SlyTy,,,,,,,,,,
Alex Singleton,2617,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,20
Mike Williams,4068,FALSE,8,TRUE,7,TRUE,FALSE,FALSE,undrafted or dropped,22
Dallas Goedert,5022,FALSE,5,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Jonathan Owens,5520,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Kyler Murray,5849,FALSE,5,TRUE,12,FALSE,TRUE,FALSE,drafted,9
Terry McLaurin,5927,FALSE,2,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Diontae Johnson,5937,FALSE,13,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Logan Wilson,6880,FALSE,16,TRUE,17,FALSE,TRUE,FALSE,drafted,13
Nico Collins,7569,FALSE,,TRUE,19,FALSE,TRUE,FALSE,drafted,14
Michael Carter,7607,FALSE,14,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Jake Ferguson,8110,FALSE,,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,14
Desmond Ridder,8159,FALSE,,TRUE,19,TRUE,FALSE,FALSE,undrafted or dropped,22
Sam Howell,8162,TRUE,22,TRUE,21,FALSE,TRUE,FALSE,keeper,17
Jaylen Warren,8228,FALSE,21,TRUE,16,FALSE,FALSE,FALSE,drafted,12
Ty Chandler,8230,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Jaquan Brisker,8323,FALSE,20,TRUE,16,TRUE,FALSE,FALSE,undrafted or dropped,22
Jahmyr Gibbs,9221,FALSE,,TRUE,1,FALSE,FALSE,FALSE,drafted,1
Chase Brown,9224,FALSE,,TRUE,19,TRUE,FALSE,FALSE,undrafted or dropped,21
Anthony Richardson,9229,FALSE,,TRUE,4,FALSE,FALSE,FALSE,drafted,3
Marvin Mims,9494,FALSE,,TRUE,18,TRUE,FALSE,FALSE,undrafted or dropped,22
Demario Douglas,9501,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Bijan Robinson,9509,FALSE,,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Zay Flowers,9997,FALSE,,TRUE,10,FALSE,TRUE,FALSE,drafted,8
A.J. Brown,5859,TRUE,1,TRUE,2,FALSE,FALSE,FALSE,keeper,1
